n_trials,status,differential_norm,common_state_norm,differential_partial_r2,permutation_p,null_differential_norm_mean,subject,ablation
78,ok,0.23690705887896055,0.33308833392373816,0.005911332291852589,0.9504950495049505,0.2495781117966588,A2,open_loop_R1_R2
80,ok,0.20162795768326292,0.193386519590711,0.010190195913072242,0.9405940594059405,0.22260993741725343,A6,open_loop_R1_R2
77,ok,0.14632789532773516,0.33300562334083045,0.01158493189292753,0.019801980198019802,0.10492096738128547,A14,open_loop_R1_R2
80,ok,0.21842978716171715,0.24132436243582817,0.009369004468838371,0.9108910891089109,0.23329209298461556,A18,open_loop_R1_R2
80,ok,0.16741982650839662,0.47843779974611,0.011563974337005845,0.7722772277227723,0.17393308364911303,A22,open_loop_R1_R2
77,ok,0.28166911195431854,0.16965667996135786,0.012771902716549155,0.0594059405940594,0.260733727494028,A26,open_loop_R1_R2
80,ok,0.2243462664535825,0.3433847930544014,0.010231231839713861,0.8613861386138614,0.2356605023212729,A34,open_loop_R1_R2
80,ok,0.15573707513132304,0.14247164852813574,0.006852369970735017,0.693069306930693,0.16118450374312637,A38,open_loop_R1_R2
80,ok,0.17239543591982842,0.17041187268873595,0.013140217841177693,1.0,0.18962418368634232,A42,open_loop_R1_R2
80,ok,0.17522819522534377,0.26348760079350103,0.012921715298782832,0.1485148514851485,0.15995948022260958,A50,open_loop_R1_R2
80,ok,0.10523034613877269,0.20695018168668133,0.013871026273066245,0.7029702970297029,0.12051041738317694,A54,open_loop_R1_R2
80,ok,0.5306778735315062,0.4554627376164064,0.013433858632107554,0.2376237623762376,0.5275297066101754,B62,open_loop_R1_R2
80,ok,0.2083344866047653,0.2779365181803057,0.010316032103752426,0.6534653465346535,0.21188977355276017,B66,open_loop_R1_R2
80,ok,0.2787836351768476,0.43710672011578966,0.015302192450361685,0.009900990099009901,0.21215635206044284,B74,open_loop_R1_R2
80,ok,0.2311236360847581,0.36604890008630975,0.0060350080519612215,0.297029702970297,0.2267087165718599,B78,open_loop_R1_R2
80,ok,0.2705929064004387,0.3973176347277863,0.010535989175655125,0.009900990099009901,0.15529051332235802,C82,open_loop_R1_R2
80,ok,0.14940048170760967,0.14097029383616766,0.008813839641668264,0.7623762376237624,0.15906516493624945,A3,open_loop_R1_R2
80,ok,0.20315724493849885,0.3155970649560278,0.012612491726845865,0.6435643564356436,0.21044684807680372,A15,open_loop_R1_R2
80,ok,0.21055838898066948,0.22357416684659337,0.014971354053357255,0.9603960396039604,0.21941329777835128,A19,open_loop_R1_R2
80,ok,0.02501722829939969,0.2768549408438391,0.00763367251217284,1.0,0.06033184389595608,A23,open_loop_R1_R2
80,ok,0.19870645157967368,0.28739746393627363,0.01824629885916995,0.009900990099009901,0.13559469999020027,A27,open_loop_R1_R2
80,ok,0.1691401870133419,0.267115803108485,0.010644450183351806,0.8613861386138614,0.18179879690923495,A31,open_loop_R1_R2
80,ok,0.5188170757569978,0.42759819320587794,0.008413151893798765,0.039603960396039604,0.49827868248510926,A35,open_loop_R1_R2
79,ok,0.383022713616069,0.2365083849820506,0.014901930352510417,0.0297029702970297,0.35154275957150694,A43,open_loop_R1_R2
80,ok,0.1779315942685899,0.31341385343817785,0.01193037756209614,0.1485148514851485,0.14807134742110545,A51,open_loop_R1_R2
80,ok,0.2763208354507425,0.47430172096512224,0.01559867283664651,0.12871287128712872,0.2620822198014714,A55,open_loop_R1_R2
79,ok,0.3381192600970134,0.4904816876522489,0.018170136127176884,0.19801980198019803,0.3316581598518324,B63,open_loop_R1_R2
79,ok,0.17073960942696412,0.34730233526454574,0.011623660054122298,0.7029702970297029,0.18060357908507652,B67,open_loop_R1_R2
77,ok,0.5780705436659206,0.35902684423945647,0.017520861292084744,0.5346534653465347,0.5796587087181022,B79,open_loop_R1_R2
79,ok,0.17971852188246626,0.34570207634630995,0.01244868219813755,1.0,0.199435632749346,C83,open_loop_R1_R2
78,ok,0.39336440076261453,0.4506401198988561,0.011393352643245369,0.36633663366336633,0.3924903595076759,C87,open_loop_R1_R2
80,ok,0.2816284014249781,0.7149935086725556,0.0040643826538216965,0.40594059405940597,0.27818277226628213,A4,open_loop_R1_R2
80,ok,0.19817724305266993,0.3225649037884707,0.011282288191438838,0.07920792079207921,0.16894028194268412,A8,open_loop_R1_R2
80,ok,0.22446936491686445,0.40964761451863746,0.009138352307948905,0.04950495049504951,0.18542476528511162,A12,open_loop_R1_R2
80,ok,0.1456876308303857,0.17649603145260884,0.00896478803492251,0.07920792079207921,0.10585686310451317,A16,open_loop_R1_R2
79,ok,0.39759433075376877,0.21152613893112385,0.008053908228896067,1.0,0.4176492910536056,A20,open_loop_R1_R2
80,ok,0.12002534246698611,0.3330071561198558,0.012389799713881877,0.8811881188118812,0.1359453167848174,A40,open_loop_R1_R2
