subject,dataset,latent_dimension,component,validity_label,sctm_n_trials,sctm_status,sctm_differential_norm,sctm_common_state_norm,sctm_differential_partial_r2,sctm_permutation_p,sctm_null_differential_norm_mean,cross_low_to_high_within_auc,cross_low_to_high_cross_auc,cross_high_to_low_within_auc,cross_high_to_low_cross_auc,cross_status,cross_cross_state_gap
A27,A,2,2,fixed_dimension_sensitivity_ablation,238,ok,1.406058073169385,0.7157985004812389,0.00318830421782057,0.9641434262948207,1.4160463695100158,0.5857487922705313,0.3107769423558897,0.5764411027568922,0.5567632850241546,ok,0.1473248338236896
A31,A,2,2,fixed_dimension_sensitivity_ablation,238,ok,0.8056219566985245,1.5757789055004314,0.0026916530398937155,0.00796812749003984,0.7790724951548367,0.5468599033816426,0.42096774193548386,0.7290322580645161,0.7033816425120774,ok,0.07577138849929874
A35,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,1.3577956536841813,2.0864898427208427,0.0053991835456188575,0.9043824701195219,1.3664009347606174,0.887012987012987,0.9079822616407982,0.8514412416851441,0.8662337662337662,ok,-0.017880899588216648
A43,A,2,2,fixed_dimension_sensitivity_ablation,239,ok,0.1382422629480064,0.19056278741441535,0.002629041418376832,0.9960159362549801,0.14658213735199435,0.7073529411764705,0.6571428571428571,0.5297619047619049,0.5441176470588235,ok,0.017927170868347386
A51,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.07251051566168296,0.23947704121726354,0.0025463596412720335,0.14342629482071714,0.06194006889267034,0.5,0.45367647058823524,0.5125,0.5011961722488038,ok,0.028813678581480484
A55,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.08985955608438552,0.26470703635355564,0.008595996355763358,0.7609561752988048,0.09737406447373098,0.7037593984962405,0.4792833146696529,0.553191489361702,0.7548872180451127,ok,0.011390177571588445
B63,B,2,2,fixed_dimension_sensitivity_ablation,238,ok,0.5826204066148248,0.6525803032517401,0.007089137913045884,0.09163346613545817,0.5396965746542023,0.6305555555555555,0.6291309669522643,0.609547123623011,0.6097222222222222,ok,0.0006247450020400169
B67,B,2,2,fixed_dimension_sensitivity_ablation,239,ok,0.37551100519480973,0.330502501596096,0.00276586180968752,0.5617529880478087,0.381970606985173,0.6303258145363408,0.6652173913043479,0.6565217391304349,0.6052631578947368,ok,0.008183502233845508
B79,B,2,2,fixed_dimension_sensitivity_ablation,237,ok,0.8861878540177028,1.6358617034813383,0.002663985077862363,0.14741035856573706,0.8774344480570635,0.7673160173160173,0.7091503267973857,0.8839869281045751,0.9772727272727273,ok,-0.017560054324760266
C83,C,2,2,fixed_dimension_sensitivity_ablation,239,ok,0.0944819598338845,0.14584936186813652,0.006968019835568384,0.9043824701195219,0.0997225715823572,0.5704125177809387,0.6104651162790697,0.6424418604651162,0.49786628733997146,ok,0.052261487313506855
C87,C,2,2,fixed_dimension_sensitivity_ablation,238,ok,0.48237574659915466,0.3530418798744834,0.007179157287293569,0.07569721115537849,0.45206788721595353,0.6868421052631579,0.7658823529411766,0.7529411764705882,0.7052631578947368,ok,-0.01568111455108362
A4,A,2,2,fixed_dimension_sensitivity_ablation,239,ok,0.4792764575770917,1.5212386097895716,0.002080307552989824,0.06374501992031872,0.45329371864096396,0.4705882352941177,0.5963963963963963,0.5837837837837837,0.7470588235294117,ok,-0.14454160042395328
A8,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.5025803907447356,2.151391784384981,0.007136612820488941,0.9920318725099602,0.5176063678540869,0.6815789473684211,0.4911616161616162,0.5656565656565656,0.6144736842105263,ok,0.07080010632642211
