subject,dataset,baseline,n_train,n_test,accuracy,error
B78,B,CSP_LDA,160.0,80.0,0.5,
B78,B,FBCSP_proxy_logreg,160.0,80.0,0.7875,
B78,B,Riemannian_MDM,160.0,80.0,0.6625,
B78,B,Tangent_logreg,160.0,80.0,0.95,
B78,B,engineered_sensorimotor_logreg,160.0,80.0,0.8,
B79,B,CSP_LDA,160.0,80.0,0.7375,
B79,B,FBCSP_proxy_logreg,160.0,80.0,0.7,
B79,B,Riemannian_MDM,160.0,80.0,0.85,
B79,B,Tangent_logreg,160.0,80.0,0.9125,
B79,B,engineered_sensorimotor_logreg,160.0,80.0,0.6,
B80,B,CSP_LDA,160.0,80.0,0.525,
B80,B,FBCSP_proxy_logreg,160.0,80.0,0.525,
B80,B,Riemannian_MDM,160.0,80.0,0.5625,
B80,B,Tangent_logreg,160.0,80.0,0.5875,
B80,B,engineered_sensorimotor_logreg,160.0,80.0,0.575,
B81,B,CSP_LDA,160.0,80.0,0.5,
B81,B,FBCSP_proxy_logreg,160.0,80.0,0.5,
B81,B,Riemannian_MDM,160.0,80.0,0.4875,
B81,B,Tangent_logreg,160.0,80.0,0.5,
B81,B,engineered_sensorimotor_logreg,160.0,80.0,0.475,
C82,C,CSP_LDA,160.0,80.0,0.5875,
C82,C,FBCSP_proxy_logreg,160.0,80.0,0.4375,
C82,C,Riemannian_MDM,160.0,80.0,0.525,
C82,C,Tangent_logreg,160.0,80.0,0.4625,
C82,C,engineered_sensorimotor_logreg,160.0,80.0,0.6,
C83,C,CSP_LDA,160.0,80.0,0.75,
C83,C,FBCSP_proxy_logreg,160.0,80.0,0.5,
C83,C,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
C83,C,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
C83,C,engineered_sensorimotor_logreg,160.0,80.0,0.5,
C84,C,CSP_LDA,160.0,80.0,0.8375,
C84,C,FBCSP_proxy_logreg,160.0,80.0,0.625,
C84,C,Riemannian_MDM,160.0,80.0,0.55,
C84,C,Tangent_logreg,160.0,80.0,0.6875,
C84,C,engineered_sensorimotor_logreg,160.0,80.0,0.7,
C85,C,CSP_LDA,160.0,80.0,0.7375,
C85,C,FBCSP_proxy_logreg,160.0,80.0,0.5,
C85,C,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
C85,C,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
C85,C,engineered_sensorimotor_logreg,160.0,80.0,0.5,
C86,C,CSP_LDA,160.0,80.0,0.6625,
C86,C,FBCSP_proxy_logreg,160.0,80.0,0.5875,
C86,C,Riemannian_MDM,160.0,80.0,0.6625,
C86,C,Tangent_logreg,160.0,80.0,0.625,
C86,C,engineered_sensorimotor_logreg,160.0,80.0,0.55,
C87,C,CSP_LDA,160.0,80.0,0.8625,
C87,C,FBCSP_proxy_logreg,160.0,80.0,0.9125,
C87,C,Riemannian_MDM,160.0,80.0,0.9,
C87,C,Tangent_logreg,160.0,80.0,0.7625,
C87,C,engineered_sensorimotor_logreg,160.0,80.0,0.9125,
