subject,control,repeat,low_to_high_within_auc,low_to_high_cross_auc,high_to_low_within_auc,high_to_low_cross_auc,status,cross_state_gap
A5,within_run_state_permutation,1,0.7510259917920656,0.6503703703703704,0.5837037037037037,0.545827633378933,ok,0.06926584587323298
A5,within_run_trial_index,1,0.5042016806722689,0.5608695652173913,0.763768115942029,0.7044817927170868,ok,0.0013092193399099061
A5,random_within_run_split,1,0.7179962894248608,0.7423687423687424,0.6227106227106227,0.4897959183673469,ok,0.05427112569969711
A5,within_run_state_permutation,2,0.5320855614973261,0.6060606060606061,0.6121212121212122,0.7874331550802139,ok,-0.12464349376114087
A5,within_run_trial_index,2,0.5042016806722689,0.5608695652173913,0.763768115942029,0.7044817927170868,ok,0.0013092193399099061
A5,random_within_run_split,2,0.6031007751937985,0.6352941176470588,0.5712418300653596,0.6527131782945736,ok,-0.05683234534123721
A5,within_run_state_permutation,3,0.591187270501836,0.5743589743589744,0.5914529914529916,0.565483476132191,ok,0.021398905731831064
A5,within_run_trial_index,3,0.5042016806722689,0.5608695652173913,0.763768115942029,0.7044817927170868,ok,0.0013092193399099061
A5,random_within_run_split,3,0.5153061224489797,0.4641025641025641,0.5307692307692308,0.6564625850340136,ok,-0.03724489795918362
A5,within_run_state_permutation,4,0.4230769230769231,0.7236842105263157,0.5986842105263158,0.5641025641025641,ok,-0.13301282051282046
A5,within_run_trial_index,4,0.5042016806722689,0.5608695652173913,0.763768115942029,0.7044817927170868,ok,0.0013092193399099061
A5,random_within_run_split,4,0.6577777777777778,0.49521203830369354,0.6922024623803009,0.7348148148148148,ok,0.059976693519785185
A29,observed_state,0,0.5071428571428571,0.38593974175035867,0.5896700143472023,0.7107142857142857,ok,7.942201270752514e-05
A29,within_run_state_permutation,0,0.6615646258503401,0.56203605514316,0.5323435843054083,0.6343537414965986,ok,-0.0012407932420051004
A29,within_run_trial_index,0,0.5847222222222223,0.4834761321909425,0.6927784577723378,0.6652777777777777,ok,0.06437338501291992
A29,random_within_run_split,0,0.6248313090418353,0.6755050505050506,0.7121212121212122,0.47233468286099867,ok,0.09455639389849907
A29,within_run_state_permutation,1,0.6591478696741855,0.5230352303523036,0.6856368563685638,0.5401002506265664,ok,0.14082462253193961
A29,within_run_trial_index,1,0.5847222222222223,0.4834761321909425,0.6927784577723378,0.6652777777777777,ok,0.06437338501291992
A29,random_within_run_split,1,0.4878048780487805,0.5797619047619047,0.5047619047619047,0.5179340028694404,ok,-0.05256456241032992
A29,within_run_state_permutation,2,0.45105820105820105,0.6033376123234916,0.6944801026957638,0.6931216931216931,ok,-0.07546050084560996
A29,within_run_trial_index,2,0.5847222222222223,0.4834761321909425,0.6927784577723378,0.6652777777777777,ok,0.06437338501291992
A29,random_within_run_split,2,0.5873015873015872,0.4801829268292683,0.6280487804878049,0.5328798185941043,ok,0.10114381118300977
A29,within_run_state_permutation,3,0.6632653061224489,0.4772004241781548,0.6977730646871686,0.44727891156462585,ok,0.21827951753341845
A29,within_run_trial_index,3,0.5847222222222223,0.4834761321909425,0.6927784577723378,0.6652777777777777,ok,0.06437338501291992
A29,random_within_run_split,3,0.6860119047619048,0.5625,0.633578431372549,0.5610119047619048,ok,0.0980392156862745
A29,within_run_state_permutation,4,0.6744186046511628,0.6294117647058823,0.6838235294117648,0.6767441860465117,ok,0.026043091655266803
A29,within_run_trial_index,4,0.5847222222222223,0.4834761321909425,0.6927784577723378,0.6652777777777777,ok,0.06437338501291992
A29,random_within_run_split,4,0.6322222222222222,0.69377990430622,0.5837320574162679,0.5833333333333334,ok,-0.03057947900053165
A33,observed_state,0,0.8947368421052632,0.8218623481781376,0.8259109311740891,0.9057527539779682,ok,-0.0034836644383767768
A33,within_run_state_permutation,0,0.719047619047619,0.8619565217391304,0.7239130434782609,0.7444444444444445,ok,-0.08172015182884745
A33,within_run_trial_index,0,0.9037227214377407,0.8831835686777921,0.7894736842105262,0.5699614890885751,ok,0.12002567394094982
A33,random_within_run_split,0,0.8171701112877583,0.834920634920635,0.8201058201058201,0.7154213036565977,ok,0.043466996408172864
